province,ispoor,avg_savings,c_mean
Abra,1,0.0,17534.01229968665
Abra,0,58356.3684957188,52635.35670549601
Agusan del Norte,1,0.0,16361.327283432824
Agusan del Norte,0,33378.808328278,55047.06841244679
Agusan del Sur,1,0.0,15323.118607218898
Agusan del Sur,0,52396.17701386,61347.457580357834
Aklan,1,0.0,19866.51935507702
Aklan,0,89996.5031017329,69915.29390735418
Albay,1,4169.29002306628,16705.38745191897
Albay,0,54652.6250018601,63957.56447069111
Antique,1,15005.029438462,18153.405063467497
Antique,0,156363.723049295,108017.88479076263
Apayao,1,0.0,17461.54877339515
Apayao,0,69694.3808639222,56229.77981176476
Aurora,1,0.0,15527.077527855745
Aurora,0,145027.693664971,115351.32479240489
Basilan,1,15298.6009920532,17772.658405194732
Basilan,0,19842.766362337,61007.94119747466
Bataan,1,0.0,19677.39413623909
Bataan,0,59466.0287315985,77419.79295959693
Batanes,0,142455.2,79939.39922342837
Batangas,1,0.0,17392.58894248439
Batangas,0,64466.5672187575,70895.85645027278
Benguet,1,0.0,19435.05869243712
Benguet,0,108498.617535282,84521.85214616428
Biliran,1,1057.01980312626,17367.09730126273
Biliran,0,71052.2370207363,93790.77568113424
Bohol,1,0.0,16335.251830523503
Bohol,0,40550.7794590478,66971.47815629841
Bukidnon,1,10933.6154690989,14664.264602761557
Bukidnon,0,73090.420405052,50151.44320762061
Bulacan,1,0.0,17053.869729725906
Bulacan,0,65969.6706598702,72318.32634652553
Cagayan,1,4666.93238826041,17957.38772069825
Cagayan,0,97482.8833010379,67970.288927442
Camarines Norte,1,0.0,16640.766274226433
Camarines Norte,0,37603.7725333112,54125.031066066535
Camarines Sur,1,375.911167955876,17743.64931441935
Camarines Sur,0,32703.242109561,51119.934896590596
Camiguin,1,1552.3668149079,16738.30295481681
Camiguin,0,24333.9423647924,65412.45502365121
Capiz,1,17617.4554039692,17757.029720554325
Capiz,0,28384.8606928628,61626.41284362696
Catanduanes,1,0.0,16047.482299269583
Catanduanes,0,47574.3178710261,63122.7154918113
Cavite,1,0.0,18297.787039497784
Cavite,0,25065.8716324568,76757.58022971087
Cebu,1,0.0,16815.484436235656
Cebu,0,71043.4683647193,72468.50644455821
Compostela Valley,1,3845.5543787249,17210.717575813043
Compostela Valley,0,25000.0251853667,46829.51581602136
Cotabato,1,0.0,14828.188611001297
Cotabato,0,29828.6533640129,49051.09859744428
Cotabato,1,0.0,14828.188611001297
Cotabato,0,29828.6533640129,49051.09859744428
Davao,1,10416.632852126371,16963.20300711234
Davao,0,54514.8201780525,58067.887231024455
Davao del Sur,1,9904.9853675397,16559.18302419164
Davao del Sur,0,81331.4958630914,77577.37586709569
Davao,1,10416.632852126371,16963.20300711234
Davao,0,54514.8201780525,58067.887231024455
Eastern Samar,1,2713.66393064323,15322.64807218492
Eastern Samar,0,64460.9401590296,59062.83094863774
Guimaras,1,0.0,21113.9634440342
Guimaras,0,66374.4237288136,55520.09263016816
Ifugao,1,0.0,16014.215590330325
Ifugao,0,61903.7357234901,50630.22617626014
Ilocos Norte,1,7059.81107410039,20246.502478747138
Ilocos Norte,0,64556.5027618773,68425.56919494305
Ilocos Sur,1,13225.039264361,19102.85690789141
Ilocos Sur,0,90394.1016014994,61348.470825977245
Iloilo,1,4414.41404045019,16252.641881743339
Iloilo,0,79488.0587789808,60590.60226922708
Isabela,1,8660.66031179861,18605.96724261623
Isabela,0,56253.32999053034,64180.363187895884
Isabela,1,8660.66031179861,18605.96724261623
Isabela,0,56253.32999053034,64180.363187895884
Kalinga,1,0.0,16343.83730060487
Kalinga,0,60068.170970678,59322.28119070356
La Union,1,0.0,15802.951431463242
La Union,0,53842.1523044598,65726.20394685969
Laguna,1,0.0,18506.782965516035
Laguna,0,57273.0473162969,84604.10263020113
Lanao del Norte,1,1663.27260578408,14613.656680811546
Lanao del Norte,0,75143.219440944,65954.30012287195
Lanao del Sur,1,9068.35363117985,14494.849943904534
Lanao del Sur,0,63897.3779220945,32527.82652113187
Leyte,1,6238.90323878478,17344.236379871254
Leyte,0,43791.6829992044,59111.94598168992
Maguindanao,1,0.0,15027.665762153305
Maguindanao,0,40771.049892329,37948.010138540914
Manila,1,0.0,17592.553700284625
Manila,0,37478.5862122045,80234.57109943188
Marinduque,1,0.0,17507.472427519904
Marinduque,0,34889.9340920583,66050.02951771929
Masbate,1,0.0,16982.212305690722
Masbate,0,24215.191604339,50621.00510591113
Misamis Occidental,1,9721.5682957471,17133.301989593037
Misamis Occidental,0,65056.6423575498,63183.55642719884
Misamis Oriental,1,14140.9351043342,16561.820435861897
Misamis Oriental,0,96918.0864880296,73000.3012574161
Mountain Province,1,9780.16931686532,16512.138365436018
Mountain Province,0,63063.4143037643,45527.35157776778
NCR-2nd Dist.,1,0.0,18545.542536645793
NCR-2nd Dist.,0,84612.9883924169,88138.52566139853
NCR-3rd Dist.,1,0.0,19124.08502772138
NCR-3rd Dist.,0,57285.595074487,74106.42422688133
NCR-4th Dist.,1,0.0,17781.345505280977
NCR-4th Dist.,0,105494.784665224,114829.68831419559
Negros Occidental,1,0.0,16886.558701560556
Negros Occidental,0,27730.2774350853,62182.18684696837
Negros Oriental,1,0.0,14442.053795703914
Negros Oriental,0,64107.7019320116,53858.62904242367
Northern Samar,1,2360.04009358102,14459.981144908606
Northern Samar,0,85086.1600602531,69328.32857823686
Nueva Ecija,1,0.0,17522.27035156665
Nueva Ecija,0,55702.8526722938,54481.01364578084
Nueva Vizcaya,1,6064.9277339293,17877.466979377616
Nueva Vizcaya,0,64526.8825472566,56675.35240479467
Occidental Mindoro,1,4983.58165170079,15162.131518475295
Occidental Mindoro,0,90773.2804829322,69972.85514927357
Oriental Mindoro,1,12518.9171328326,15294.282451152178
Oriental Mindoro,0,75567.9157496468,66150.4390135443
Palawan,1,1835.69347577075,17351.48172906665
Palawan,0,74157.6368041819,72867.44686954874
Pampanga,1,0.0,19494.509906528107
Pampanga,0,94379.9119729491,69270.72427655126
Pangasinan,1,1970.80360462821,17743.152355380033
Pangasinan,0,57140.3577529035,61109.090394615734
Quezon,1,0.0,17021.05708379661
Quezon,0,17065.5779475155,58071.82710580072
Quirino,1,10147.5404260883,17807.409348029632
Quirino,0,58144.2065032707,55161.22060239767
Rizal,1,0.0,18231.507057285562
Rizal,0,64413.5256895211,87454.26938375965
Romblon,1,9496.68073351069,18590.717280228735
Romblon,0,83703.6699697943,87910.3359948815
Samar (Western),1,0.0,15773.134484309121
Samar (Western),0,83665.5211677869,69850.14293215895
Sarangani,1,0.0,14649.76219619563
Sarangani,0,29140.1195091718,45611.447272009114
Siquijor,1,0.0,15782.767148595598
Siquijor,0,22273.2977045294,47535.52782273314
Sorsogon,1,2989.66312603358,17158.524949334507
Sorsogon,0,24841.9948228746,51887.02534155019
South Cotabato,1,0.0,15508.321714544327
South Cotabato,0,55392.0890531672,65547.57482027407
Southern Leyte,1,0.0,15572.294094631909
Southern Leyte,0,58490.3646831081,52183.57004139265
Sultan Kudarat,1,0.0,12908.746077296559
Sultan Kudarat,0,50782.428054094,56919.75866592441
Sulu,1,10953.8735408688,18351.901829565606
Sulu,0,38805.0499265029,34154.42385185317
Surigao del Norte,1,3747.28213076789,16659.521065800247
Surigao del Norte,0,54307.3323381831,58774.183997444314
Surigao del Sur,1,10796.6080433373,16327.112518536782
Surigao del Sur,0,87270.1013429414,64850.59601298194
Tarlac,1,0.0,17761.648471659973
Tarlac,0,53765.7690955177,58154.26613032403
Tawi-tawi,1,8506.74073078654,19837.44894064837
Tawi-tawi,0,69910.6367961108,37655.10313191977
Zambales,1,0.0,17445.879855440577
Zambales,0,26273.9504622666,64617.133148753
Zamboanga del Norte,1,15996.1142834797,14612.117436379487
Zamboanga del Norte,0,48659.4723038924,61716.07339152274
Zamboanga del Sur,1,11942.2428528746,16729.28297730554
Zamboanga del Sur,0,63888.3267591501,79618.60252296345
Zamboanga Sibugay,1,12004.9223028784,17064.871383084475
Zamboanga Sibugay,0,56144.4322040196,53836.9814770363
